date,close,low,open,split_coefficient,adj_close,high,volume,dividend_amount,symbol
1998-01-02,16.25,13.5,13.63,1.0,0.5125,16.25,6411700.0,0.0,AAPL
1998-01-05,15.88,15.19,16.5,1.0,0.5009,16.56,5820300.0,0.0,AAPL
1998-01-06,18.94,14.75,15.94,1.0,0.5974,20.0,16182800.0,0.0,AAPL
1998-01-07,17.5,17.31,18.81,1.0,0.5519,19.0,9300200.0,0.0,AAPL
1998-01-08,18.19,16.94,17.44,1.0,0.5737,18.62,6910900.0,0.0,AAPL
1998-01-09,18.19,17.5,18.12,1.0,0.5737,19.37,7915600.0,0.0,AAPL
1998-01-12,18.25,17.12,17.44,1.0,0.5756,18.62,4610700.0,0.0,AAPL
1998-01-13,19.5,18.5,18.62,1.0,0.615,19.62,5686200.0,0.0,AAPL
1998-01-14,19.75,19.25,19.87,1.0,0.6229,19.94,5261300.0,0.0,AAPL
1998-01-15,19.19,18.62,19.19,1.0,0.6053,19.75,4993500.0,0.0,AAPL
1998-01-16,18.81,18.69,19.44,1.0,0.5933,19.44,2199600.0,0.0,AAPL
1998-01-20,19.06,18.62,19.06,1.0,0.6012,19.31,2156800.0,0.0,AAPL
1998-01-21,18.91,18.56,18.75,1.0,0.5964,19.06,1698300.0,0.0,AAPL
1998-01-22,19.25,18.62,18.69,1.0,0.6071,19.75,2944000.0,0.0,AAPL
1998-01-23,19.5,19.25,19.37,1.0,0.615,19.69,2081800.0,0.0,AAPL
1998-01-26,19.44,18.81,19.44,1.0,0.6131,19.56,1307500.0,0.0,AAPL
1998-01-27,19.12,19.0,19.19,1.0,0.603,19.69,1002100.0,0.0,AAPL
1998-01-28,19.19,18.62,19.19,1.0,0.6053,19.37,1349300.0,0.0,AAPL
1998-01-29,18.5,18.5,18.94,1.0,0.5835,19.12,1891800.0,0.0,AAPL
1998-01-30,18.31,18.25,18.31,1.0,0.5775,18.87,1450400.0,0.0,AAPL
1998-02-02,17.69,17.37,18.5,1.0,0.5579,18.5,5685200.0,0.0,AAPL
1998-02-03,18.31,17.69,17.69,1.0,0.5775,18.62,3594800.0,0.0,AAPL
1998-02-04,18.25,18.0,18.06,1.0,0.5756,18.5,1519600.0,0.0,AAPL
1998-02-05,18.31,18.0,18.25,1.0,0.5775,18.5,2127400.0,0.0,AAPL
1998-02-06,18.5,18.25,18.37,1.0,0.5835,18.69,1806600.0,0.0,AAPL
1998-02-09,19.19,18.37,18.37,1.0,0.6053,19.5,4416700.0,0.0,AAPL
1998-02-10,19.44,19.06,19.12,1.0,0.6131,19.56,3768000.0,0.0,AAPL
1998-02-11,19.0,18.87,19.5,1.0,0.5993,19.5,1889900.0,0.0,AAPL
1998-02-12,19.37,19.06,19.12,1.0,0.6109,19.44,1819200.0,0.0,AAPL
1998-02-13,19.5,19.0,19.19,1.0,0.615,19.87,1857100.0,0.0,AAPL
1998-02-17,19.62,19.5,19.5,1.0,0.6188,19.75,1631700.0,0.0,AAPL
1998-02-18,20.56,19.56,19.56,1.0,0.6485,20.75,4416000.0,0.0,AAPL
1998-02-19,20.44,20.0,20.87,1.0,0.6447,20.94,3568400.0,0.0,AAPL
1998-02-20,20.0,19.81,20.5,1.0,0.6308,20.56,2905500.0,0.0,AAPL
1998-02-23,21.25,20.0,20.12,1.0,0.6702,21.62,4263300.0,0.0,AAPL
1998-02-24,21.31,20.75,21.31,1.0,0.6721,21.37,4076700.0,0.0,AAPL
1998-02-25,22.31,20.94,21.31,1.0,0.7037,22.75,6363100.0,0.0,AAPL
1998-02-26,23.5,21.87,22.31,1.0,0.7412,23.56,5313700.0,0.0,AAPL
1998-02-27,23.62,22.56,23.31,1.0,0.745,23.87,4639300.0,0.0,AAPL
1998-03-02,22.75,22.25,23.56,1.0,0.7175,23.56,3575400.0,0.0,AAPL
1998-03-03,23.12,21.62,21.87,1.0,0.7292,23.19,2982800.0,0.0,AAPL
1998-03-04,24.44,22.87,22.87,1.0,0.7708,24.75,7302000.0,0.0,AAPL
1998-03-05,24.06,23.12,23.25,1.0,0.7588,24.25,6027900.0,0.0,AAPL
1998-03-06,24.44,23.37,23.87,1.0,0.7708,24.5,5950600.0,0.0,AAPL
1998-03-09,22.75,22.5,23.75,1.0,0.7175,24.31,5133300.0,0.0,AAPL
1998-03-10,24.06,22.94,23.0,1.0,0.7588,24.5,6365200.0,0.0,AAPL
1998-03-11,26.12,24.56,25.12,1.0,0.8238,26.19,10842300.0,0.0,AAPL
1998-03-12,27.0,25.56,26.12,1.0,0.8516,27.0,6646100.0,0.0,AAPL
1998-03-13,27.12,26.25,27.25,1.0,0.8554,27.25,5055000.0,0.0,AAPL
1998-03-16,26.69,26.19,27.12,1.0,0.8418,27.25,3592500.0,0.0,AAPL
1998-03-17,26.34,25.87,26.5,1.0,0.8308,26.69,3663000.0,0.0,AAPL
1998-03-18,26.94,26.0,26.0,1.0,0.8497,26.94,2473200.0,0.0,AAPL
1998-03-19,26.75,26.56,26.87,1.0,0.8437,26.94,1429100.0,0.0,AAPL
1998-03-20,26.37,26.0,26.69,1.0,0.8317,26.87,1923900.0,0.0,AAPL
1998-03-23,26.12,24.62,25.94,1.0,0.8238,26.25,3703000.0,0.0,AAPL
1998-03-24,28.0,26.25,26.37,1.0,0.8831,28.0,6035100.0,0.0,AAPL
1998-03-25,27.16,26.37,27.62,1.0,0.8566,27.75,3458700.0,0.0,AAPL
1998-03-26,26.56,26.44,26.75,1.0,0.8377,27.0,1812200.0,0.0,AAPL
1998-03-27,26.94,26.37,26.62,1.0,0.8497,27.31,2282100.0,0.0,AAPL
1998-03-30,27.44,26.75,26.75,1.0,0.8655,27.5,2238400.0,0.0,AAPL
1998-03-31,27.5,27.25,27.44,1.0,0.8673,27.81,2383000.0,0.0,AAPL
1998-04-01,27.5,27.06,27.44,1.0,0.8673,27.81,1668600.0,0.0,AAPL
1998-04-02,27.31,26.94,27.31,1.0,0.8614,27.44,1734900.0,0.0,AAPL
1998-04-03,27.06,26.81,27.12,1.0,0.8535,27.25,1813100.0,0.0,AAPL
1998-04-06,26.25,26.19,27.0,1.0,0.8279,27.0,3103500.0,0.0,AAPL
1998-04-07,25.5,24.87,25.81,1.0,0.8043,26.0,2613400.0,0.0,AAPL
1998-04-08,25.0,24.69,25.25,1.0,0.7885,25.37,2010700.0,0.0,AAPL
1998-04-09,25.62,25.0,25.06,1.0,0.8081,25.87,1520600.0,0.0,AAPL
1998-04-13,26.44,25.0,25.62,1.0,0.8339,26.69,2574100.0,0.0,AAPL
1998-04-14,26.94,26.37,26.37,1.0,0.8497,27.25,2927200.0,0.0,AAPL
1998-04-15,27.44,26.62,27.19,1.0,0.8655,27.5,4977800.0,0.0,AAPL
1998-04-16,28.62,28.19,29.25,1.0,0.9027,29.62,16410300.0,0.0,AAPL
1998-04-17,27.94,27.69,28.56,1.0,0.8812,28.62,5287200.0,0.0,AAPL
1998-04-20,29.0,27.56,27.62,1.0,0.9147,29.5,4623000.0,0.0,AAPL
1998-04-21,29.0,28.5,29.06,1.0,0.9147,29.12,3107400.0,0.0,AAPL
1998-04-22,27.5,27.5,28.75,1.0,0.8673,29.0,2544200.0,0.0,AAPL
1998-04-23,27.69,27.19,27.44,1.0,0.8733,29.0,4243700.0,0.0,AAPL
1998-04-24,27.94,27.5,27.75,1.0,0.8812,28.25,1924500.0,0.0,AAPL
1998-04-27,27.75,26.75,26.75,1.0,0.8752,27.75,3658900.0,0.0,AAPL
1998-04-28,26.94,26.25,27.87,1.0,0.8497,28.0,2117600.0,0.0,AAPL
1998-04-29,27.0,26.75,26.94,1.0,0.8516,27.44,1692300.0,0.0,AAPL
1998-04-30,27.37,27.06,27.37,1.0,0.8632,27.62,1606700.0,0.0,AAPL
1998-05-01,28.0,26.87,27.5,1.0,0.8831,28.25,1643500.0,0.0,AAPL
1998-05-04,29.06,28.87,28.87,1.0,0.9165,29.5,5099500.0,0.0,AAPL
1998-05-05,29.69,29.12,29.25,1.0,0.9364,29.87,3743600.0,0.0,AAPL
1998-05-06,30.31,29.25,29.87,1.0,0.956,30.44,8009000.0,0.0,AAPL
1998-05-07,30.19,29.87,30.56,1.0,0.9522,30.62,4936600.0,0.0,AAPL
1998-05-08,30.44,29.94,30.06,1.0,0.9601,30.5,2418000.0,0.0,AAPL
1998-05-11,30.94,30.75,30.87,1.0,0.9758,31.62,5937700.0,0.0,AAPL
1998-05-12,30.12,29.94,30.56,1.0,0.95,30.75,2301900.0,0.0,AAPL
1998-05-13,30.44,29.62,30.06,1.0,0.9601,30.81,2807300.0,0.0,AAPL
1998-05-14,30.06,29.75,30.37,1.0,0.9481,30.44,1452500.0,0.0,AAPL
1998-05-15,29.56,29.25,30.06,1.0,0.9323,30.37,2433800.0,0.0,AAPL
1998-05-18,28.5,28.37,29.37,1.0,0.8989,29.56,2074900.0,0.0,AAPL
1998-05-19,29.37,28.81,28.94,1.0,0.9263,29.44,1948800.0,0.0,AAPL
1998-05-20,29.56,28.75,29.62,1.0,0.9323,29.87,1698000.0,0.0,AAPL
1998-05-21,28.87,28.62,29.56,1.0,0.9106,29.69,1169600.0,0.0,AAPL
1998-05-22,27.87,27.31,28.75,1.0,0.879,28.75,2380300.0,0.0,AAPL
1998-05-26,26.69,26.62,28.06,1.0,0.8418,28.25,2783700.0,0.0,AAPL
1998-05-27,26.75,25.62,25.69,1.0,0.8437,26.81,3305300.0,0.0,AAPL
1998-05-28,27.44,26.75,26.75,1.0,0.8655,27.87,2665100.0,0.0,AAPL
1998-05-29,26.62,26.44,27.5,1.0,0.8396,27.56,1935000.0,0.0,AAPL
1998-06-01,26.25,25.62,26.5,1.0,0.8279,27.62,2854400.0,0.0,AAPL
1998-06-02,26.87,26.0,26.44,1.0,0.8475,27.31,1600900.0,0.0,AAPL
1998-06-03,26.31,26.19,27.12,1.0,0.8298,27.25,1295900.0,0.0,AAPL
1998-06-04,26.81,25.81,26.62,1.0,0.8456,26.87,1394100.0,0.0,AAPL
1998-06-05,26.87,26.37,26.87,1.0,0.8475,27.25,1101100.0,0.0,AAPL
1998-06-08,27.25,26.81,27.0,1.0,0.8595,27.69,1130600.0,0.0,AAPL
1998-06-09,28.25,27.37,27.37,1.0,0.891,28.5,2462000.0,0.0,AAPL
1998-06-10,28.06,27.62,28.0,1.0,0.885,29.0,2046700.0,0.0,AAPL
1998-06-11,27.81,27.81,28.19,1.0,0.8771,28.62,1608200.0,0.0,AAPL
1998-06-12,28.12,27.37,27.62,1.0,0.8869,28.25,1998700.0,0.0,AAPL
1998-06-15,27.5,27.25,27.25,1.0,0.8673,28.25,1220200.0,0.0,AAPL
1998-06-16,28.0,27.31,27.69,1.0,0.8831,28.12,1157900.0,0.0,AAPL
1998-06-17,28.12,27.94,28.0,1.0,0.8869,28.56,1671200.0,0.0,AAPL
1998-06-18,27.31,27.19,27.75,1.0,0.8614,28.06,1071400.0,0.0,AAPL
1998-06-19,27.06,26.75,27.37,1.0,0.8535,27.44,1228200.0,0.0,AAPL
1998-06-22,27.37,26.75,27.0,1.0,0.8632,27.56,1201500.0,0.0,AAPL
1998-06-23,27.81,27.25,27.44,1.0,0.8771,28.12,2063000.0,0.0,AAPL
1998-06-24,28.25,27.31,27.75,1.0,0.891,28.62,2444600.0,0.0,AAPL
1998-06-25,28.56,28.31,28.56,1.0,0.9008,28.81,1712600.0,0.0,AAPL
1998-06-26,28.19,27.75,28.5,1.0,0.8891,28.62,992100.0,0.0,AAPL
1998-06-29,28.69,28.06,28.25,1.0,0.9049,28.81,1483800.0,0.0,AAPL
1998-06-30,28.69,28.12,28.62,1.0,0.9049,28.81,1170200.0,0.0,AAPL
1998-07-01,29.94,28.5,28.87,1.0,0.9443,30.0,2804600.0,0.0,AAPL
1998-07-02,29.0,29.0,29.69,1.0,0.9147,30.06,2661700.0,0.0,AAPL
1998-07-06,30.37,29.12,29.5,1.0,0.9579,30.37,2419200.0,0.0,AAPL
1998-07-07,30.5,30.0,30.37,1.0,0.962,30.87,2156000.0,0.0,AAPL
1998-07-08,32.56,30.69,30.75,1.0,1.0269,32.94,8328700.0,0.0,AAPL
1998-07-09,31.69,31.44,32.94,1.0,0.9995,33.63,5059000.0,0.0,AAPL
1998-07-10,32.06,31.75,32.19,1.0,1.0112,32.63,2701100.0,0.0,AAPL
1998-07-13,33.94,31.87,31.94,1.0,1.0705,34.13,6387400.0,0.0,AAPL
1998-07-14,33.44,33.13,33.94,1.0,1.0547,34.0,4897600.0,0.0,AAPL
1998-07-15,34.44,33.5,33.69,1.0,1.0862,34.69,5312200.0,0.0,AAPL
1998-07-16,37.5,35.75,37.88,1.0,1.1827,38.13,22869200.0,0.0,AAPL
1998-07-17,36.88,36.19,37.25,1.0,1.1632,37.25,5621000.0,0.0,AAPL
1998-07-20,36.25,35.5,36.56,1.0,1.1433,36.63,3427600.0,0.0,AAPL
1998-07-21,35.63,35.56,36.13,1.0,1.1238,37.0,2942000.0,0.0,AAPL
1998-07-22,35.0,34.25,34.94,1.0,1.1039,35.63,2506500.0,0.0,AAPL
1998-07-23,34.94,34.75,34.81,1.0,1.102,35.63,2260100.0,0.0,AAPL
1998-07-24,34.69,33.81,35.38,1.0,1.0941,35.5,2422200.0,0.0,AAPL
1998-07-27,34.44,33.25,34.25,1.0,1.0862,34.88,1912800.0,0.0,AAPL
1998-07-28,33.63,33.0,34.06,1.0,1.0607,34.63,2012300.0,0.0,AAPL
1998-07-29,35.13,33.69,33.75,1.0,1.108,35.88,3997500.0,0.0,AAPL
1998-07-30,36.5,35.5,35.81,1.0,1.1512,36.75,3234800.0,0.0,AAPL
1998-07-31,34.63,34.5,36.63,1.0,1.0922,36.75,1634900.0,0.0,AAPL
1998-08-03,35.13,33.25,34.25,1.0,1.108,35.56,2694300.0,0.0,AAPL
1998-08-04,34.19,34.0,35.5,1.0,1.0783,36.0,2624300.0,0.0,AAPL
1998-08-05,36.0,33.5,33.75,1.0,1.1354,36.0,4054300.0,0.0,AAPL
1998-08-06,36.88,34.88,35.06,1.0,1.1632,36.88,3916200.0,0.0,AAPL
1998-08-07,36.5,36.0,37.19,1.0,1.1512,37.38,2660900.0,0.0,AAPL
1998-08-10,37.94,36.25,36.31,1.0,1.1966,38.06,4362500.0,0.0,AAPL
1998-08-11,39.0,37.38,37.75,1.0,1.2301,41.0,15709600.0,0.0,AAPL
1998-08-12,40.06,39.48,39.75,1.0,1.2635,40.94,6158700.0,0.0,AAPL
1998-08-13,39.44,39.38,39.94,1.0,1.2439,40.75,3489100.0,0.0,AAPL
1998-08-14,40.5,39.5,40.69,1.0,1.2774,40.75,4024800.0,0.0,AAPL
1998-08-17,41.94,39.88,41.0,1.0,1.3228,42.81,8311400.0,0.0,AAPL
1998-08-18,42.56,42.25,42.44,1.0,1.3423,43.38,5410300.0,0.0,AAPL
1998-08-19,41.0,41.0,43.5,1.0,1.2931,43.75,4339200.0,0.0,AAPL
