date,low,open,high,close,volume,adj_close,split_coefficient,dividend_amount,symbol
1998-01-02,98.63,99.81,99.81,99.63,988533.0,25.7629,1.0,0.0,DIS
1998-01-05,97.69,100.5,100.8,98.81,3964933.0,25.5509,1.0,0.0,DIS
1998-01-06,98.0,98.5,98.69,98.44,1434500.0,25.4552,1.0,0.0,DIS
1998-01-07,97.38,98.06,98.5,98.5,1490667.0,25.5051,1.0,0.133,DIS
1998-01-08,96.94,98.31,98.44,97.69,942300.0,25.2954,1.0,0.0,DIS
1998-01-09,96.0,97.69,97.75,96.0,1809667.0,24.8578,1.0,0.0,DIS
1998-01-12,93.56,94.06,96.13,94.44,2049067.0,24.4538,1.0,0.0,DIS
1998-01-13,93.75,94.38,95.5,95.0,1690233.0,24.5988,1.0,0.0,DIS
1998-01-14,94.19,95.06,97.13,96.5,1142667.0,24.9872,1.0,0.0,DIS
1998-01-15,94.69,95.75,96.06,95.69,1011033.0,24.7775,1.0,0.0,DIS
1998-01-16,95.25,96.25,96.56,96.13,1496233.0,24.8914,1.0,0.0,DIS
1998-01-20,96.75,97.0,99.75,99.38,1354900.0,25.733,1.0,0.0,DIS
1998-01-21,98.06,99.0,99.5,98.88,1187467.0,25.6035,1.0,0.0,DIS
1998-01-22,96.31,98.63,98.63,96.5,898900.0,24.9872,1.0,0.0,DIS
1998-01-23,96.81,97.5,99.19,98.63,1844967.0,25.5388,1.0,0.0,DIS
1998-01-26,97.0,98.88,99.31,97.38,1032333.0,25.2151,1.0,0.0,DIS
1998-01-27,98.88,98.94,104.1,102.8,3278667.0,26.6185,1.0,0.0,DIS
1998-01-28,103.5,103.9,106.8,105.0,2986933.0,27.1882,1.0,0.0,DIS
1998-01-29,104.6,104.8,108.4,106.3,1854900.0,27.5248,1.0,0.0,DIS
1998-01-30,105.3,106.1,107.9,106.9,1443000.0,27.6802,1.0,0.0,DIS
1998-02-02,106.8,106.9,109.3,108.8,1861700.0,28.1721,1.0,0.0,DIS
1998-02-03,106.8,107.8,108.3,108.0,1409533.0,27.965,1.0,0.0,DIS
1998-02-04,107.3,107.4,108.8,108.3,1150667.0,28.0427,1.0,0.0,DIS
1998-02-05,107.4,108.8,109.4,108.3,1179767.0,28.0427,1.0,0.0,DIS
1998-02-06,108.1,108.3,109.1,108.6,748933.0,28.1204,1.0,0.0,DIS
1998-02-09,107.6,109.2,109.6,107.7,872233.0,27.8873,1.0,0.0,DIS
1998-02-10,106.5,108.2,109.1,108.5,1133233.0,28.0945,1.0,0.0,DIS
1998-02-11,108.3,108.5,110.8,110.8,1308767.0,28.69,1.0,0.0,DIS
1998-02-12,108.9,110.0,110.4,110.1,1388667.0,28.5088,1.0,0.0,DIS
1998-02-13,109.3,109.3,111.6,111.4,977367.0,28.8454,1.0,0.0,DIS
1998-02-17,111.8,112.2,113.0,113.0,1493100.0,29.2597,1.0,0.0,DIS
1998-02-18,112.1,112.9,115.3,114.9,1215267.0,29.7516,1.0,0.0,DIS
1998-02-19,113.5,114.7,115.5,114.2,1244667.0,29.5704,1.0,0.0,DIS
1998-02-20,113.3,114.2,114.9,114.4,1405300.0,29.6222,1.0,0.0,DIS
1998-02-23,113.5,114.6,115.8,114.1,1526167.0,29.5445,1.0,0.0,DIS
1998-02-24,111.6,113.7,113.9,111.9,1692667.0,28.9748,1.0,0.0,DIS
1998-02-25,111.0,111.4,112.1,111.3,1401633.0,28.8195,1.0,0.0,DIS
1998-02-26,109.0,110.0,111.1,110.0,1475467.0,28.4829,1.0,0.0,DIS
1998-02-27,109.0,109.0,112.6,111.9,1525133.0,28.9748,1.0,0.0,DIS
1998-03-02,109.0,111.3,111.9,109.4,1245567.0,28.3275,1.0,0.0,DIS
1998-03-03,109.0,109.3,110.7,110.0,1052633.0,28.4829,1.0,0.0,DIS
1998-03-04,104.7,106.9,106.9,106.9,3887667.0,27.6802,1.0,0.0,DIS
1998-03-05,104.8,105.0,105.9,105.2,2210300.0,27.24,1.0,0.0,DIS
1998-03-06,105.1,106.1,106.4,105.6,1340800.0,27.3435,1.0,0.0,DIS
1998-03-09,105.3,105.4,106.4,105.8,1139500.0,27.3953,1.0,0.0,DIS
1998-03-10,105.5,106.2,106.2,105.9,1034367.0,27.4212,1.0,0.0,DIS
1998-03-11,104.4,105.5,105.6,104.8,1183933.0,27.1364,1.0,0.0,DIS
1998-03-12,104.6,105.2,106.3,105.9,1099267.0,27.4212,1.0,0.0,DIS
1998-03-13,105.1,107.9,107.9,106.0,1019067.0,27.4471,1.0,0.0,DIS
1998-03-16,106.2,106.4,110.0,109.6,1278833.0,28.3793,1.0,0.0,DIS
1998-03-17,106.7,108.5,108.8,107.7,1112233.0,27.8873,1.0,0.0,DIS
1998-03-18,106.0,107.3,107.5,107.3,1016100.0,27.7837,1.0,0.0,DIS
1998-03-19,105.8,107.4,107.7,106.3,1094000.0,27.5248,1.0,0.0,DIS
1998-03-20,105.4,106.5,107.0,107.0,1707367.0,27.7061,1.0,0.0,DIS
1998-03-23,102.8,104.5,105.8,103.0,2603433.0,26.6703,1.0,0.0,DIS
1998-03-24,104.6,105.0,107.3,106.9,2677233.0,27.6802,1.0,0.0,DIS
1998-03-25,105.9,107.0,107.4,106.9,1216900.0,27.6802,1.0,0.0,DIS
1998-03-26,106.1,106.1,108.1,107.7,1081933.0,27.8873,1.0,0.0,DIS
1998-03-27,107.0,107.9,108.2,107.3,1067633.0,27.7837,1.0,0.0,DIS
1998-03-30,105.5,107.0,107.5,105.6,930133.0,27.3435,1.0,0.0,DIS
1998-03-31,105.5,105.9,107.5,106.8,1251467.0,27.6543,1.0,0.0,DIS
1998-04-01,104.9,107.0,107.0,106.0,1524633.0,27.4471,1.0,0.0,DIS
1998-04-02,105.4,106.0,108.9,108.9,1555767.0,28.198,1.0,0.0,DIS
1998-04-03,108.1,109.9,110.9,110.9,1448600.0,28.7159,1.0,0.0,DIS
1998-04-06,108.3,111.2,111.2,108.4,1036700.0,28.0686,1.0,0.0,DIS
1998-04-07,107.1,108.3,108.4,107.9,819000.0,27.98,1.0,0.158,DIS
1998-04-08,105.7,108.0,108.0,107.0,1085667.0,27.7466,1.0,0.0,DIS
1998-04-09,106.5,107.3,109.4,109.1,1252967.0,28.2912,1.0,0.0,DIS
1998-04-13,108.9,109.1,110.4,110.3,1243567.0,28.6024,1.0,0.0,DIS
1998-04-14,111.5,112.3,113.3,113.2,1625333.0,29.3544,1.0,0.0,DIS
1998-04-15,112.5,113.5,114.8,113.6,2030300.0,29.4581,1.0,0.0,DIS
1998-04-16,111.9,113.4,113.4,112.0,1330867.0,29.0432,1.0,0.0,DIS
1998-04-17,111.6,112.3,113.4,113.4,1348200.0,29.4062,1.0,0.0,DIS
1998-04-20,113.4,113.5,115.9,115.4,1795467.0,29.9249,1.0,0.0,DIS
1998-04-21,114.5,115.5,116.9,116.8,1590733.0,30.2879,1.0,0.0,DIS
1998-04-22,115.7,116.6,122.0,122.0,1277433.0,31.6363,1.0,0.0,DIS
1998-04-23,123.4,125.0,127.6,123.7,9163300.0,32.0772,1.0,0.0,DIS
1998-04-24,119.8,123.7,123.7,122.1,5240233.0,31.6623,1.0,0.0,DIS
1998-04-27,119.3,120.6,121.4,120.9,2466833.0,31.3511,1.0,0.0,DIS
1998-04-28,122.5,123.8,124.0,123.5,2545033.0,32.0253,1.0,0.0,DIS
1998-04-29,123.0,123.9,124.5,123.9,1477467.0,32.129,1.0,0.0,DIS
1998-04-30,124.1,124.8,125.6,124.6,1707067.0,32.3106,1.0,0.0,DIS
1998-05-01,124.4,124.9,125.7,125.7,1253400.0,32.5958,1.0,0.0,DIS
1998-05-04,126.3,126.7,128.4,127.1,1487533.0,32.9588,1.0,0.0,DIS
1998-05-05,124.8,127.8,127.8,126.7,1315333.0,32.8551,1.0,0.0,DIS
1998-05-06,124.0,126.5,126.6,124.2,1028900.0,32.2068,1.0,0.0,DIS
1998-05-07,118.9,120.5,120.6,119.2,3714667.0,30.9103,1.0,0.0,DIS
1998-05-08,118.9,119.3,119.9,119.5,2062267.0,30.9881,1.0,0.0,DIS
1998-05-11,119.6,119.9,121.3,120.9,1306833.0,31.3511,1.0,0.0,DIS
1998-05-12,118.8,120.6,120.6,118.8,1230267.0,30.8065,1.0,0.0,DIS
1998-05-13,118.0,118.8,119.6,118.5,1416733.0,30.7287,1.0,0.0,DIS
1998-05-14,115.5,116.4,117.4,116.1,2421400.0,30.1064,1.0,0.0,DIS
1998-05-15,110.6,114.5,114.6,110.6,5095333.0,28.6802,1.0,0.0,DIS
1998-05-18,109.1,111.0,112.5,109.7,3065500.0,28.4468,1.0,0.0,DIS
1998-05-19,110.1,111.3,111.8,110.9,2364733.0,28.758,1.0,0.0,DIS
1998-05-20,114.3,114.3,114.5,114.4,2273467.0,29.6656,1.0,0.0,DIS
1998-05-21,114.6,114.9,116.8,115.9,1904900.0,30.0545,1.0,0.0,DIS
1998-05-22,115.5,116.4,116.8,116.3,1317067.0,30.1582,1.0,0.0,DIS
1998-05-26,111.1,116.7,116.8,111.8,1977400.0,28.9913,1.0,0.0,DIS
1998-05-27,110.7,110.9,114.9,114.3,2409133.0,29.6396,1.0,0.0,DIS
1998-05-28,112.0,114.3,114.4,113.4,1211100.0,29.4062,1.0,0.0,DIS
1998-05-29,113.1,114.0,114.3,113.3,1056667.0,29.3803,1.0,0.0,DIS
1998-06-01,110.4,113.9,113.9,110.8,1366567.0,28.732,1.0,0.0,DIS
1998-06-02,109.6,111.8,112.0,110.1,2120467.0,28.5505,1.0,0.0,DIS
1998-06-03,109.1,110.8,111.4,109.6,1319100.0,28.4208,1.0,0.0,DIS
1998-06-04,108.1,109.3,109.9,109.6,1297000.0,28.4208,1.0,0.0,DIS
1998-06-05,112.0,112.9,114.9,114.7,2967367.0,29.7433,1.0,0.0,DIS
1998-06-08,113.6,114.7,115.9,115.9,2065600.0,30.0545,1.0,0.0,DIS
1998-06-09,114.8,115.9,116.5,116.5,1373767.0,30.2101,1.0,0.0,DIS
1998-06-10,117.0,117.0,119.69,118.31,2338867.0,30.6795,1.0,0.0,DIS
1998-06-11,116.1,118.4,118.8,116.2,1561433.0,30.1323,1.0,0.0,DIS
1998-06-12,113.3,116.3,116.5,115.1,1953267.0,29.8471,1.0,0.0,DIS
1998-06-15,112.2,113.7,115.0,112.2,1581100.0,29.0951,1.0,0.0,DIS
1998-06-16,112.3,113.0,114.1,112.9,2043400.0,29.2766,1.0,0.0,DIS
1998-06-17,113.0,114.0,116.3,114.3,2179567.0,29.6396,1.0,0.0,DIS
1998-06-18,111.9,114.3,114.4,112.0,2434300.0,29.0432,1.0,0.0,DIS
1998-06-19,106.9,109.6,109.9,107.6,7043733.0,27.9022,1.0,0.0,DIS
1998-06-22,104.5,105.6,108.9,108.8,5120367.0,28.2134,1.0,0.0,DIS
1998-06-23,108.6,109.9,110.4,109.8,2091467.0,28.4727,1.0,0.0,DIS
1998-06-24,109.7,109.9,113.3,112.7,2083033.0,29.2247,1.0,0.0,DIS
1998-06-25,111.6,112.9,113.9,112.5,2084067.0,29.1729,1.0,0.0,DIS
1998-06-26,110.4,112.3,112.4,110.5,1535600.0,28.6542,1.0,0.0,DIS
1998-06-29,111.9,112.3,113.8,113.2,1797500.0,29.3544,1.0,0.0,DIS
1998-06-30,105.1,109.1,109.8,105.1,7454100.0,27.2539,1.0,0.0,DIS
1998-07-01,106.1,106.5,107.5,106.3,4803600.0,27.5651,1.0,0.0,DIS
1998-07-02,105.3,106.1,106.4,106.4,2735767.0,27.591,1.0,0.0,DIS
1998-07-06,104.8,106.3,106.3,105.8,2624200.0,27.4354,1.0,0.0,DIS
1998-07-07,106.0,106.5,107.0,106.6,2998467.0,27.6429,1.0,0.0,DIS
1998-07-08,106.6,106.6,108.9,108.3,3215267.0,28.0837,1.0,0.0,DIS
1998-07-09,108.5,108.8,111.4,111.0,4337067.0,28.7839,1.0,0.0,DIS
1998-07-10,36.5,37.25,38.5,38.13,5284767.0,29.663,3.0,0.0,DIS
1998-07-13,38.38,39.0,39.56,39.38,15306300.0,30.6354,1.0,0.0,DIS
1998-07-14,39.63,39.81,40.25,39.88,12756600.0,31.0244,1.0,0.0,DIS
1998-07-15,39.19,40.06,40.31,39.38,8713200.0,30.6354,1.0,0.0,DIS
1998-07-16,38.06,38.44,39.44,39.31,10147600.0,30.5809,1.0,0.0,DIS
1998-07-17,38.81,39.31,39.56,39.38,5878400.0,30.6354,1.0,0.0,DIS
1998-07-20,38.5,39.38,39.75,38.56,6405000.0,29.9975,1.0,0.0,DIS
1998-07-21,37.44,38.56,38.56,37.75,6457300.0,29.3673,1.0,0.0,DIS
1998-07-22,36.81,37.13,38.0,37.19,8617400.0,28.9725,1.0,0.0525,DIS
1998-07-23,36.0,37.19,37.88,36.25,4679000.0,28.2402,1.0,0.0,DIS
1998-07-24,36.06,36.63,37.0,36.81,4283500.0,28.6765,1.0,0.0,DIS
1998-07-27,36.0,36.63,36.69,36.63,3906700.0,28.5363,1.0,0.0,DIS
1998-07-28,35.06,36.19,36.56,35.38,6300700.0,27.5625,1.0,0.0,DIS
1998-07-29,35.06,35.5,35.75,35.38,4168000.0,27.5625,1.0,0.0,DIS
1998-07-30,34.0,35.44,35.5,35.31,5601700.0,27.5079,1.0,0.0,DIS
1998-07-31,34.25,35.31,35.5,34.44,3860500.0,26.8302,1.0,0.0,DIS
1998-08-03,34.5,34.56,35.0,34.69,4230800.0,27.0249,1.0,0.0,DIS
1998-08-04,32.75,34.94,35.19,32.81,7750000.0,25.5603,1.0,0.0,DIS
1998-08-05,32.25,33.38,34.06,33.56,7835400.0,26.1446,1.0,0.0,DIS
1998-08-06,33.06,33.69,34.0,33.31,5529400.0,25.9499,1.0,0.0,DIS
1998-08-07,32.88,33.44,33.56,33.38,4928800.0,26.0044,1.0,0.0,DIS
1998-08-10,32.56,33.44,33.63,32.88,4527500.0,25.6149,1.0,0.0,DIS
