date,low,open,high,close,volume,adj_close,split_coefficient,dividend_amount,symbol
1998-01-02,60.94,61.06,62.06,61.88,2828600.0,18.0208,1.0,0.0,XOM
1998-01-05,60.31,62.0,62.19,61.19,4364200.0,17.8199,1.0,0.0,XOM
1998-01-06,58.63,60.13,60.56,59.0,4504600.0,17.1821,1.0,0.0,XOM
1998-01-07,58.88,59.06,60.94,60.88,5831800.0,17.7296,1.0,0.0,XOM
1998-01-08,59.5,60.63,61.0,59.56,3178800.0,17.3452,1.0,0.0,XOM
1998-01-09,57.56,59.56,59.69,58.13,4030300.0,16.9287,1.0,0.0,XOM
1998-01-12,56.63,56.75,59.0,58.75,4181200.0,17.1093,1.0,0.0,XOM
1998-01-13,59.0,59.5,60.13,60.06,4458500.0,17.4908,1.0,0.0,XOM
1998-01-14,59.75,60.19,61.0,60.81,3187500.0,17.7092,1.0,0.0,XOM
1998-01-15,59.25,60.56,61.44,59.5,4303300.0,17.3277,1.0,0.0,XOM
1998-01-16,60.0,60.31,61.56,60.81,4222800.0,17.7092,1.0,0.0,XOM
1998-01-20,60.31,60.69,61.25,60.88,3174000.0,17.7296,1.0,0.0,XOM
1998-01-21,60.5,61.5,61.94,61.06,3325700.0,17.782,1.0,0.0,XOM
1998-01-22,59.0,60.25,60.25,59.56,2845300.0,17.3452,1.0,0.0,XOM
1998-01-23,58.19,59.56,59.94,59.06,2891000.0,17.1996,1.0,0.0,XOM
1998-01-26,59.06,59.06,60.44,60.25,2934200.0,17.5461,1.0,0.0,XOM
1998-01-27,60.19,60.38,61.0,60.38,2816800.0,17.584,1.0,0.0,XOM
1998-01-28,59.0,60.19,60.5,59.19,4143300.0,17.2374,1.0,0.0,XOM
1998-01-29,59.31,59.75,60.88,60.75,3929700.0,17.6917,1.0,0.0,XOM
1998-01-30,59.13,60.56,60.63,59.31,3646400.0,17.2724,1.0,0.0,XOM
1998-02-02,60.19,60.75,60.81,60.5,4364300.0,17.6189,1.0,0.0,XOM
1998-02-03,60.19,60.25,61.25,60.81,3122600.0,17.7092,1.0,0.0,XOM
1998-02-04,60.56,60.56,62.0,61.56,2905100.0,17.9276,1.0,0.0,XOM
1998-02-05,61.38,62.0,62.44,61.94,3482200.0,18.0383,1.0,0.0,XOM
1998-02-06,61.5,61.5,62.25,62.0,2438800.0,18.1751,1.0,0.41,XOM
1998-02-09,61.25,62.0,62.19,62.0,2387500.0,18.1751,1.0,0.0,XOM
1998-02-10,61.56,62.0,62.19,62.06,2682000.0,18.1927,1.0,0.0,XOM
1998-02-11,61.88,62.13,62.94,62.69,3123100.0,18.3774,1.0,0.0,XOM
1998-02-12,61.88,62.63,63.44,63.06,2810700.0,18.4859,1.0,0.0,XOM
1998-02-13,62.63,62.88,63.38,63.13,2293700.0,18.5064,1.0,0.0,XOM
1998-02-17,61.94,63.25,63.25,62.13,3045700.0,18.2133,1.0,0.0,XOM
1998-02-18,62.25,62.31,64.06,63.81,4134300.0,18.7057,1.0,0.0,XOM
1998-02-19,63.31,63.88,64.0,63.63,3053800.0,18.653,1.0,0.0,XOM
1998-02-20,63.19,63.56,64.44,64.31,3831700.0,18.8523,1.0,0.0,XOM
1998-02-23,61.75,63.44,63.44,62.5,3847800.0,18.3217,1.0,0.0,XOM
1998-02-24,62.25,62.69,63.19,62.75,3255200.0,18.395,1.0,0.0,XOM
1998-02-25,62.25,62.94,63.13,62.81,1988200.0,18.4126,1.0,0.0,XOM
1998-02-26,62.63,62.81,63.5,63.06,2079700.0,18.4859,1.0,0.0,XOM
1998-02-27,62.81,62.94,64.06,63.75,2785000.0,18.6882,1.0,0.0,XOM
1998-03-02,63.06,63.88,64.12,63.5,2438100.0,18.6149,1.0,0.0,XOM
1998-03-03,63.38,63.5,64.31,64.25,3428800.0,18.8347,1.0,0.0,XOM
1998-03-04,63.25,64.25,64.44,63.44,3522400.0,18.5973,1.0,0.0,XOM
1998-03-05,62.56,62.88,63.44,62.94,3453900.0,18.4507,1.0,0.0,XOM
